rank,name,mark,author,year
1,让娜·迪尔曼 Jeanne Dielman,8.9,香特尔·阿克曼,1975
2,迷魂记 Vertigo,8.7,阿尔弗雷德·希区柯克,1958
3,公民凯恩 Citizen Kane,8.8,奥逊·威尔斯,1941
4,东京物语 東京物語,9.1,小津安二郎,1953
5,花样年华 花樣年華,8.8,王家卫,2000
6,2001太空漫游 A Space Odyssey,8.9,斯坦利·库布里克,1968
7,军中禁恋 Beau travail,7.4,克莱尔·德尼,1999
8,穆赫兰道 Mulholland Dr.,8.4,大卫·林奇,2001
9,持摄影机的人 Киноаппаратом,9.1,吉加·维尔托夫,1929
10,雨中曲 Singin' in the Rain,9.1,斯坦利·多南/吉恩·凯利,1952
11,日出 Sunrise,8.8,F·W·茂瑙,1927
12,教父 The Godfather,9.3,弗朗西斯·福特·科波拉,1972
13,游戏规则 La Règle du jeu,8.4,让·雷诺阿,1939
14,五至七时的克莱奥 Cléo de 5 à 7,8.7,阿涅斯·瓦尔达,1962
15,搜索者 The Searchers,7.9,约翰·福特,1956
16,午后的迷惘 Meshes of Afternoon,8.8,梅雅·黛伦/亚历山大·罕密德,1943
17,特写 ??????,8.8,阿巴斯·基亚罗斯塔米,1990
18,假面 Persona,8.8,英格玛·伯格曼,1966
19,现代启示录 Apocalypse Now,8.5,弗朗西斯·福特·科波拉,1979
20,七武士 七人の侍,9.3,黑泽明,1954
21,圣女贞德蒙难记 Passion de Jeanne,8.7,卡尔·西奥多·德莱叶,1928
22,晚春 晩春,8.7,小津安二郎,1949
23,玩乐时间 Play Time,8.8,雅克·塔蒂,1967
24,为所应为 Do the Right Thing,8.2,斯派克·李,1989
25,驴子巴特萨 Au hasard Balthazar,8.3,罗伯特·布列松,1966
26,猎人之夜 The Night of the Hunter,8.0,查尔斯·劳顿,1955
27,浩劫 Shoah,8.9,克洛德·朗兹曼,1985
28,雏菊 Sedmikrásky,8.5,维拉·希蒂洛娃,1966
29,出租车司机 Taxi Driver,8.6,马丁·斯科塞斯,1976
30,燃烧女子肖像 Portrait la jeune fille,8.7,瑟琳·席安玛,2019
31,镜子 Зеркало,9.0,安德烈·塔可夫斯基,1975
32,惊魂记 Psycho,9.0,阿尔弗雷德·希区柯克,1960
33,八部半 8?,8.6,费德里科·费里尼,1963
34,亚特兰大号 L'Atalante,8.1,让·维果,1934
35,大地之歌 ???? ???????,8.9,萨蒂亚吉特·雷伊,1955
36,城市之光 City Lights,9.3,查理·卓别林,1931
37,M就是凶手 M - Eine Murder,8.3,弗里茨·朗,1931
38,热情如火 Some Like It Hot,8.9,比利·怀尔德,1959
39,精疲力尽 à bout de souffle,8.4,让-吕克·戈达尔,1960
